D,L,NC,W,dob,fname,height,lname,name,reach,sapm,slpm,stance,str_acc,str_def,sub_avg,td_acc,td_avg,td_def,weight,year_counts,15_rec,16_rec,17_rec,18_rec,reach_height_ratio,reach_weight_ratio,weight_class,age,age_z,reach_z,height_z,sapm_z,slpm_z,str_acc_z,sub_avg_z,td_acc_z,td_avg_z,td_def_z,win_perc,total_fights,brawl_score,strike_diff,strike_ratio
1,5,0,21,1988-04-26,Marlon,66.0,Moraes,Marlon Moraes,67.0,2.81,3.25,Orthodox,0.33,,0.5,0.25,0.47,0.6,135,"[0, 0, 3, 1]",0,0,3,1,1.0151515151515151,0.4962962962962963,135,30.172602739726027,-0.2207655200076397,-0.425847653022622,-0.49546632666322865,-0.3091176358408075,0.06291061793228564,-0.5805576988335331,-0.1532039081112409,-0.4561726029363798,-0.724353201110236,0.13243025876973663,0.7962962962962963,27,6.0600000000000005,0.43999999999999995,1.1565836298932384
0,1,0,8,1993-02-11,Petr,67.0,Yan,Petr Yan,67.0,0.0,0.0,Switch,0.0,,0.0,0.0,0.0,0.0,135,"[0, 0, 0, 1]",0,0,0,1,1.0,0.4962962962962963,135,25.372602739726027,-1.2772346077401013,-0.425847653022622,0.0701131594334722,-1.9934619845945436,-2.0698135632635335,-3.4531312941771515,-0.5181187286124248,-1.4320722662196543,-1.0302868553778863,-2.0232730566300137,0.8888888888888888,9,0.0,0.0,
1,1,0,6,1987-05-22,Amanda,64.0,Lemos,Amanda Lemos,65.0,12.81,8.63,Southpaw,0.64,,0.0,1.0,1.9,0.0,135,"[0, 0, 1, 0]",0,0,1,0,1.015625,0.48148148148148145,135,31.104109589041094,-0.0157429801508838,-1.2181223563205215,-1.6266252988566303,5.684990366841528,3.5933894163425952,2.1179205270953205,-0.5181187286124248,2.471526386913444,0.20646621506580662,-2.0232730566300137,0.8125,8,21.44,-4.18,0.6736924277907885
0,3,1,3,1986-06-24,Jessamyn,71.0,Duke,Jessamyn Duke,73.0,4.43,4.83,,0.53,,1.9,0.36,1.27,0.5,135,"[1, 0, 0, 0]",1,0,0,0,1.028169014084507,0.5407407407407407,135,32.013698630136986,0.18445549994453725,1.9509764568710761,2.3324311038202756,0.6619278605937305,1.0997426814059454,1.1603959953141143,0.8685575892920739,-0.026776751091739017,-0.20361506618657574,-0.22685362713022167,0.5,7,9.26,0.40000000000000036,1.090293453724605
1,4,0,7,1991-05-25,Albert,69.0,Morales,Albert Morales,72.0,3.96,3.81,Orthodox,0.35,,0.2,0.35,0.91,0.7,135,"[0, 2, 3, 1]",0,2,3,1,1.0434782608695652,0.5333333333333333,135,27.09315068493151,-0.8985459164752688,1.5548391052221264,1.201272131626874,0.380204784467661,0.43039539992294984,-0.40646232941876875,-0.3721528004119513,-0.06581273762307004,-0.4379472269022229,0.491714144669695,0.625,12,7.77,-0.1499999999999999,0.9621212121212122
0,10,0,15,1972-10-05,Anthony,75.0,Perosh,Anthony Perosh,75.0,3.77,2.27,Orthodox,0.43,,1.1,0.22,2.03,0.33,205,"[2, 0, 0, 0]",2,0,0,0,1.0,0.36585365853658536,205,45.73972602739726,2.7847982802076774,-0.2934190313749894,0.8169669905195492,0.23989928896067944,-0.8529184825481277,-0.36328097877900295,0.4686841587169176,-0.42403871299027707,0.3206555040317392,-0.8181035307051969,0.6,25,6.04,-1.5,0.6021220159151194
3,8,0,16,1988-09-09,Dong,71.0,Hyun Kim,Dong Hyun Kim,70.0,4.53,3.77,Orthodox,0.45,,0.0,0.6,1.67,0.33,155,"[1, 2, 1, 1]",1,2,1,1,0.9859154929577465,0.45161290322580644,155,29.8,-0.5731916487965238,-0.7129829868430685,0.6834966206539899,0.8329830069823067,0.34930941557592593,0.38502211877793696,-0.8849781246706946,0.989756177468104,0.08242061379266138,-0.7997018538913594,0.6481481481481481,27,8.3,-0.7600000000000002,0.8322295805739514
0,5,0,26,1980-11-07,Ivan,69.0,Jorge,Ivan Jorge,73.0,2.91,3.41,Orthodox,0.49,,0.6,0.16,1.56,0.75,155,"[2, 0, 0, 0]",2,0,0,0,1.0579710144927537,0.47096774193548385,155,37.64383561643836,1.6060128879318976,0.6928989590446715,-0.5769776667858368,-0.3111462672826104,0.11870607223341918,0.822860393014478,0.09858564601253816,-0.7900511585219809,0.0041782326847214215,0.7212004052826437,0.8387096774193549,31,6.32,0.5,1.1718213058419245
0,8,1,23,1989-10-17,Charles,70.0,Oliveira,Charles Oliveira,74.0,3.05,3.02,Orthodox,0.5,,2.8,0.41,2.83,0.6,155,"[3, 2, 2, 1]",3,2,2,1,1.0571428571428572,0.4774193548387097,155,28.695890410958903,-0.8799396153705913,1.1615262743405848,0.05325947693407655,-0.2122708979016919,-0.13111421638762993,0.9323199615736134,3.7049861385177247,0.22120300965420361,0.9075220872945747,0.178021027006214,0.7419354838709677,32,6.07,-0.029999999999999805,0.9901639344262295
0,1,0,6,1992-09-15,Marcelo,75.0,Golm,Marcelo Golm,75.0,4.61,5.49,Orthodox,0.66,,0.9,1.0,0.88,1.0,249,"[0, 0, 1, 1]",0,0,1,1,1.0,0.30120481927710846,265,25.78082191780822,-1.638246210871055,-0.7348008031100824,0.12629867451207857,0.8836691238960923,1.7769738730994404,1.7071948417338259,0.5146901154136451,2.1520967555630826,-0.2718779251233726,1.290349551722218,0.8571428571428571,7,10.100000000000001,0.8799999999999999,1.1908893709327548
0,7,0,18,1982-05-21,Ricardo,68.0,Lamas,Ricardo Lamas,71.0,2.49,2.73,Orthodox,0.44,,1.1,0.3,1.55,0.47,145,"[2, 2, 2, 1]",2,2,2,1,1.0441176470588236,0.4896551724137931,145,36.10958904109589,1.3752845533751066,0.3128736419028426,-0.47343134570421913,-0.5319689269070649,-0.3660660543726015,0.18198217083854376,0.2880114923949539,-0.2818306994530035,-0.057153057995893396,-0.4656506089201548,0.72,25,5.220000000000001,0.23999999999999977,1.0963855421686746
0,3,0,9,1981-02-21,Chris,67.0,Kelades,Chris Kelades,68.0,2.64,2.4,Orthodox,0.43,,0.3,0.18,1.04,0.53,125,"[2, 1, 0, 0]",2,1,0,0,1.0149253731343284,0.544,125,37.35342465753425,1.7925818573556558,0.6768066866049081,0.8994272139374965,-0.328066896568804,-0.4342010654227243,0.3671670551481774,-0.40268376302912984,-0.6857161489414016,-0.350834168767588,0.0918155827159262,0.75,12,5.04,-0.2400000000000002,0.9090909090909091
0,4,0,18,1989-07-22,Rory,72.0,MacDonald,Rory MacDonald,76.0,2.8,3.75,Orthodox,0.42,,0.4,0.47,1.77,0.88,170,"[1, 1, 0, 0]",1,1,0,0,1.0555555555555556,0.4470588235294118,170,28.934246575342467,-0.9004767467033309,1.2222377621389686,0.3162291497853107,-0.34729519417305066,0.08071818169658689,-0.05736252951031538,-0.1296072780299825,0.49507969349005354,0.27028809316032015,1.1232112446762248,0.8181818181818182,22,6.55,0.9500000000000002,1.3392857142857144
0,6,0,8,1983-04-29,Valerie,67.0,Letourneau,Valerie Letourneau,68.0,5.4,4.51,Orthodox,0.37,,0.3,0.45,0.77,0.66,115,"[3, 2, 0, 0]",3,2,0,0,1.0149253731343284,0.591304347826087,115,35.16986301369863,1.058423240695671,1.6275490550677898,1.5617661118264643,0.9172178314880742,0.460955667466869,-0.5765233321259425,-0.2730322286234015,0.26517286160811915,-0.43660008147330465,0.6788462115496255,0.5714285714285714,14,9.91,-0.8900000000000006,0.8351851851851851
0,13,0,16,1979-08-30,Neil,64.0,Seery,Neil Seery,64.0,3.79,3.56,Orthodox,0.41,,1.6,0.27,0.78,0.53,125,"[3, 1, 1, 0]",3,1,1,0,1.0,0.512,125,38.83561643835616,2.1765184923468017,-1.0581062283541502,-0.9793762996208284,0.4733801434105801,0.4780394774230158,0.18309397150055784,0.5068902821124536,-0.33834138127408053,-0.48861959516450026,0.0918155827159262,0.5517241379310345,29,7.35,-0.22999999999999998,0.9393139841688655
0,3,0,5,1988-11-28,Patrick,71.0,Walsh,Patrick Walsh,71.0,2.83,2.03,,0.19,,1.5,0.54,3.0,1.0,185,"[1, 0, 0, 0]",1,0,0,0,1.0,0.3837837837837838,185,29.58082191780822,-0.8355979506116065,-1.4958183018257138,-0.9591473255932668,-0.10921588763104455,-0.8245144593544728,-2.387702910995823,1.127958246842218,0.6241567572929143,0.9682954952167812,1.6799066768827473,0.625,8,4.859999999999999,-0.8000000000000003,0.7173144876325087
0,1,0,7,1986-05-13,Arjan,73.0,Bhullar,Arjan Bhullar,75.0,2.05,1.5,Orthodox,0.48,,0.0,0.75,2.05,0.0,245,"[0, 0, 1, 1]",0,0,1,1,1.0273972602739727,0.30612244897959184,265,32.12876712328767,-0.40782359948631797,-0.7348008031100824,-0.7998916052431861,-0.7882763987633011,-1.2371858675898149,0.19252159903047628,-0.6657188751489238,1.3110357307693625,0.5511096631959855,-1.923351218604814,0.875,8,3.55,-0.5499999999999998,0.7317073170731708
1,3,0,16,1988-07-28,Gunnar,71.0,Nelson,Gunnar Nelson,72.0,3.7,2.01,Switch,0.56,,1.1,0.62,1.64,0.7,170,"[2, 1, 2, 0]",2,1,2,0,1.0140845070422535,0.4235294117647059,170,29.91780821917808,-0.6524387228526496,-0.6457105158470067,-0.24404640907344774,0.3371245396419236,-0.32475986812250496,1.3654776046477506,0.8432999866556099,1.1209689647326497,0.16936466242785855,0.4185925164572722,0.825,20,5.71,-1.6900000000000004,0.5432432432432431
0,7,0,18,1986-08-18,Miesha,66.0,Tate,Miesha Tate,65.0,2.71,1.93,Orthodox,0.41,,1.6,0.31,2.06,0.52,135,"[2, 3, 0, 0]",2,3,0,0,0.9848484848484849,0.48148148148148145,135,31.863013698630137,0.15129008908535627,-1.2181223563205215,-0.49546632666322865,-0.3690587158676309,-0.8033035110457085,0.11582377882552548,0.6496086969913637,-0.2219566837483939,0.31061384205053877,-0.15499684995022994,0.72,25,4.64,-0.78,0.7121771217712177
0,6,0,13,1987-09-25,Jordan,70.0,Rinaldi,Jordan Rinaldi,72.0,3.26,1.42,Orthodox,0.36,,1.4,0.28,1.38,0.2,155,"[0, 1, 1, 1]",0,1,1,1,1.0285714285714285,0.4645161290322581,155,30.75890410958904,-0.30678522621358795,0.22427164374875816,0.05325947693407655,-0.06395784383031378,-1.1560179645765492,-0.6001139982542812,1.4100040069235151,-0.3046491577974122,-0.12385475458281696,-1.270457315064265,0.6842105263157895,19,4.68,-1.8399999999999999,0.43558282208588955
0,12,0,28,1978-08-03,Johnny,67.0,Eduardo,Johnny Eduardo,71.0,3.34,2.89,Orthodox,0.38,,0.5,0.0,0.0,0.62,135,"[1, 1, 1, 1]",1,1,1,1,1.0597014925373134,0.5259259259259259,135,39.90958904109589,1.9223230289656303,1.1587017535731767,0.0701131594334722,0.008570088301356167,-0.1733295990617127,-0.1453192752966214,-0.1532039081112409,-1.4320722662196543,-1.0302868553778863,0.20428703594972838,0.7,40,6.23,-0.44999999999999973,0.8652694610778444
0,3,0,5,1991-07-11,Izabela,65.0,Badurek,Izabela Badurek,,4.9,3.74,Orthodox,0.71,,0.0,0.12,1.75,1.0,115,"[1, 0, 0, 0]",1,0,0,0,,,115,26.964383561643835,-0.8171013755219957,,0.49472094225558627,0.5987796246212389,-0.025864096054874275,2.3691013429437575,-0.4423943253258874,-0.9173547644821409,0.2715776010849601,1.8696927552623828,0.625,8,8.64,-1.1600000000000001,0.7632653061224489
